"pathway","pval","padj","log2err","ES","NES","size","genes"
"MIR_216B_5P",0.824956672443674,0.94124358243012,0.047925896705813,0.273411689856441,0.756847993640464,57,"Irf2bp2,Vps39,Son,Dcun1d4,Cdc14a,Ifi47,Uba3,Zbtb2,Tes,Eps8,Wwox,Cox14,Snx30,Ipo11,Lrp8,Prpf39,Itch,Pxn,Lima1,Cdkl2,Gtf2h5"
"MIR_100_5P_MIR_99A_5P",0.829565217391304,0.941524276239021,0.0478299633114229,0.318758127353607,0.700915298028326,14,"Ap1ar,Ptgir,Seh1l"
"MIR_12178_5P",0.82983682983683,0.941524276239021,0.0614364107201271,-0.294309825982247,-0.706779246175702,20,"Klf16,Msi2,Fgf13,Dsp"
"MIR_154_5P",0.830316742081448,0.941524276239021,0.059989249649033,-0.269213429618326,-0.71979202216883,39,"Asap2,Megf11,Plek,Pask,Eri1,Hectd4,Zeb2,Mindy2,Hivep2,Nudt4,Hnrnpr,Slc38a2,Aqp9,Hdhd2,E2f5"
"MIR_1905",0.828703703703704,0.941524276239021,0.0611692626746689,-0.286469182678867,-0.724847336319275,27,"Birc6,Eef1a1,Lrrtm2,Cdk8,Scd4,Zeb2,Cep76,Mindy3,Zmiz1"
"MIR_27B_5P",0.830232558139535,0.941524276239021,0.0613026075396207,-0.284514914251728,-0.725129531471414,28,"Srsf6,Crebrf,Dcaf7,Msi2"
"MIR_3104_5P",0.827768014059754,0.941524276239021,0.0484087618816951,0.315294394223307,0.713643170807226,16,"Carhsp1,Akip1"
"MIR_6377",0.83046683046683,0.941524276239021,0.0639271933359996,-0.248104867717943,-0.780232441211282,146,"Huwe1,Ranbp10,F2r,Cdc37l1,Ppp3cb,Eea1,Zfyve26,Dennd4c,Rb1cc1,Sbno1,Sh2d1a,Fndc3a,Tia1,Rab22a,Bicd1,Rab23,Camsap2,Lrrtm2,Vmp1,Pak2,Smcr8,Rfx3,Otud7b,P2ry10,Tnrc6b,Zrsr2,Mbtd1,Zfp953,Cdc40,Ubn2,Slc6a6,Abi2,Cd200r1,Phf20l1,Zfx,Ctdspl2,Zfp758"
"MIR_6399",0.829439252336449,0.941524276239021,0.0615706755421678,-0.256634239941129,-0.728821376921158,58,"Pabpc1,Bicral,Azin1,Slc4a7,Zfp770,Cep350,R3hdm1,Rfx7,Cpne3,Tnpo1,Relt,Cpeb2"
"MIR_6917_3P",0.831365935919056,0.941524276239021,0.0463227785794633,0.261140071278949,0.76583163835385,82,"Aco1,Atp9b,Igsf9b,Sumf2,Tram1,Cers2,Tmem128,Snx10,Pon2,Anp32a,Dcaf11,Rasgrp1,Rpp14,Rnf34,Dlat,Ccdc59"
"MIR_696",0.831018518518518,0.941524276239021,0.0610363728309177,-0.339341122643556,-0.713519365243782,10,"Ddx3x,Bend3,Parpbp"
"MIR_7027_3P",0.828125,0.941524276239021,0.0478299633114229,0.344618532945077,0.688375422324683,9,"Usp25,Zbtb2,Fbxo34,Atf7ip,Cd200r3"
"MIR_7093_3P",0.827242524916944,0.941524276239021,0.0458620343117985,0.252058424368394,0.780686172253893,140,"Rarg,Ehd3,Ankrd27,Smyd4,Rnf4,Crlf3,Egln3,Rab2a,Ewsr1,Nosip,Mis12,Retreg1,Cast,Acbd5,Zfr,Nampt,Ndfip2,Nub1"
"ZFP981_TARGET_GENES",0.830715532286213,0.941524276239021,0.047925896705813,0.298855973427153,0.704311745831003,19,"Slc39a3,Cdc16,Inpp5f,Smg7"
"MIR_3072_3P",0.832547169811321,0.941795440963032,0.0618406035753285,-0.286890642298755,-0.69511225158845,22,"Cdc42bpg"
"MIR_7076_3P",0.832460732984293,0.941795440963032,0.0478299633114229,0.298489402475556,0.703447850677999,19,"Rbms1,Ehd4,Lcp1,Armcx3,Ddost,Sinhcaf,Ctu2,Tspan33"
"MIR_6354",0.834158415841584,0.942073329963155,0.0640703750499722,-0.258740570098365,-0.760794505131121,84,"Prpf19,Trps1,Clock,Pitpnm2,Kdm5c,Zcchc14,Sp1,Slc35e2,Nfatc1,Otud7b,Zfp81,Bace1,Hectd4,Mllt6"
"MIR_7005_3P",0.833628318584071,0.942073329963155,0.0484087618816951,0.276567367582904,0.751910126053271,46,"Synj2,Fbxo30,Map1lc3b,Sucla2,Atf2,Yipf3,B3gat3,Pnrc1,Marveld1,St3gal1,Nif3l1,Riox2,Ankrd13b"
"MIR_9718",0.834205933682374,0.942073329963155,0.0477342401407188,0.273779389237506,0.755165015207846,56,"Mtmr14,Atg4a,Gins4,Camk4,Tsnax,Ifi47,Ktn1,Fndc5,Mfsd6,Gsap,Nmt2,Zfp704,Bcl6,Lsm14a,Arih2,Prpf39,Chd7,Zc3h12a,Sipa1l2,Kctd15"
"MIR_872_5P",0.834883720930233,0.9423066827655,0.0610363728309177,-0.281734874606637,-0.718044177613538,28,"Dennd4c,Lrrtm2,Lemd3,Uhmk1,Jade1,Mecp2,Phf20l1,Ppp1r8,Naf1,Picalm,Sltm,Slc38a2,Cxxc5"
"MIR_7679_3P",0.835376532399299,0.942331113817597,0.0478299633114229,0.336497070298134,0.697284004166675,11,"Dazap2,Dcaf11,Phf8"
